"name","mf","idx","formula","mw","qindx","dri","tol","mfp","modmf","ri","rt"
"Tridecane",905.583389388164,56,"C13H28","184",128,43.0999999999999,12.569,121.45357625905,784.129813129114,1256.9,7.0928
"Dodecane",885.665408770659,58,"C12H26","170",128,56.9000000000001,12.569,176.350544991646,709.314863779013,1256.9,7.0928
"2,4,6,8-Tetramethyl-1-undecene (isomer 1)",815.805102453425,18,"C15H30","210",131,20,12.794,28.1616382679381,787.643464185487,1279.4,7.2581
"2,4,6,8-Tetramethyl-1-undecene (isomer 2)",805.204230472666,17,"C15H30","210",131,28.5999999999999,12.794,61.7711427231511,743.433087749515,1279.4,7.2581
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",800.660096177195,16,"C15H30","210",131,37.1999999999998,12.794,95.3806471783641,705.279448998831,1279.4,7.2581
"2,4,6,8-Tetramethyl-1-undecene (isomer 1)",804.583978225931,18,"C15H30","210",132,15.9000000000001,12.835,11.9400077911963,792.643970434734,1283.5,7.2888
"2,4,6,8-Tetramethyl-1-undecene (isomer 2)",796.853191491194,17,"C15H30","210",132,24.5,12.835,45.4421503700818,751.411041121112,1283.5,7.2888
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",789.809103995899,16,"C15H30","210",132,33.0999999999999,12.835,78.9442929489673,710.864811046931,1283.5,7.2888
"2,4,6,8-Tetramethyl-1-undecene (isomer 1)",863.317534205462,18,"C15H30","210",133,4,12.954,0,863.317534205462,1295.4,7.3761
"2,4,6,8-Tetramethyl-1-undecene (isomer 2)",843.127904632171,17,"C15H30","210",133,12.5999999999999,12.954,0,843.127904632171,1295.4,7.3761
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",857.48659229409,16,"C15H30","210",133,21.1999999999998,12.954,31.8280067932678,825.658585500822,1295.4,7.3761
"1-Tridecene",736.411094853593,57,"C13H26","182",133,5,12.954,0,736.411094853593,1295.4,7.3761
"2,4,6,8-Tetramethyl-1-undecene (isomer 1)",773.46152940289,18,"C15H30","210",134,6,13.054,0,773.46152940289,1305.4,7.4467
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",755.992254331907,16,"C15H30","210",134,11.1999999999998,13.054,0,755.992254331907,1305.4,7.4467
"2,4,6,8-Tetramethyl-1-undecene (isomer 2)",745.374057144024,17,"C15H30","210",134,2.59999999999991,13.054,0,745.374057144024,1305.4,7.4467
"Tridecane",832.156376070666,56,"C13H28","184",135,16.3,13.163,11.9159766010786,820.240399469587,1316.3,7.5207
"Tridecane",826.339195561312,56,"C13H28","184",136,19.0999999999999,13.191,22.3978470169051,803.941348544407,1319.1,7.5394
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",777.491922622541,16,"C15H30","210",137,20,13.366,24.8166990872363,752.675223535305,1336.6,7.658
"1-Tetradecene",940.126536230898,55,"C14H28","196",141,27.0999999999999,13.635,49.376604327099,890.749931903799,1363.5,7.8406
"1-Tridecene",937.765548729389,57,"C13H26","182",141,73.0999999999999,13.635,218.060139347268,719.705409382121,1363.5,7.8406
"Tetradecane",914.581074971189,54,"C14H30","198",142,26.5999999999999,13.734,46.83995922528,867.741115745909,1373.4,7.908
"2,4,6-Triethyl-1-decene (isomer 1)",816.244002361214,152,"C16H32","224",146,6,14.038,0,816.244002361214,1403.8,8.1119
"2,4,6-Triethyl-1-decene (isomer 2)",791.164099629978,148,"C16H32","224",146,9.70000000000005,14.038,0,791.164099629978,1403.8,8.1119
"2,4,6-Triethyl-1-decene (isomer 1)",797.707290694984,152,"C16H32","224",147,5.90000000000009,14.157,0,797.707290694984,1415.7,8.1872
"1-Tetradecene",792.786197670696,55,"C14H28","196",147,25.1000000000001,14.157,38.6487250123619,754.137472658334,1415.7,8.1872
"2,4,6-Triethyl-8-methyl-1-decene",807.889817195282,151,"C17H34","238",147,41.0999999999999,14.157,95.1578724305994,712.731944764682,1415.7,8.1872
"2,4,6-Triethyl-1-decene (isomer 2)",764.379468907678,148,"C16H32","224",148,10.7,14.242,0,764.379468907678,1424.2,8.2412
"2,4,6-Triethyl-1-decene (isomer 1)",755.14923639124,152,"C16H32","224",148,14.4000000000001,14.242,0.554697373964647,754.594539017276,1424.2,8.2412
"2,4,6-Triethyl-8-methyl-1-decene",804.529031692962,151,"C17H34","238",149,19.0999999999999,14.377,16.425540794324,788.103490898638,1437.7,8.3265
"2,4,6-Triethyl-1-decene (isomer 1)",784.83221008527,152,"C16H32","224",149,27.9000000000001,14.377,47.0299784377829,737.802231647487,1437.7,8.3265
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",949.866756682503,15,"C18H36","252",149,77.0999999999999,14.377,218.136607080754,731.73014960175,1437.7,8.3265
"2,4,6-Triethyl-8-methyl-1-decene",764.574957845983,151,"C17H34","238",150,5.79999999999995,14.51,0,764.574957845983,1451,8.4105
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",887.381248003928,15,"C18H36","252",150,63.8,14.51,169.848380427291,717.532867576636,1451,8.4105
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",908.039355367902,15,"C18H36","252",151,57.3,14.575,146.569468267581,761.46988710032,1457.5,8.4518
"1-Pentadecene",788.900098314832,53,"C15H30","210",151,33.2,14.575,63.8936535162952,725.006444798537,1457.5,8.4518
"1,14-Pentadecadiene",909.920204813381,45,"C15H28","208",152,8.20000000000005,14.745,0,909.920204813381,1474.5,8.5591
"1-Pentadecene",942.786253528558,53,"C15H30","210",153,6.20000000000005,14.845,0,942.786253528558,1484.5,8.6224
"2,4,6,8-Tetraethyl-1,8-nonadiene",733.861901481775,150,"C17H32","236",154,19.2,14.918,14.3517897841535,719.510111697621,1491.8,8.6691
"Pentadecane",815.964360802863,52,"C15H32","212",155,5.90000000000009,14.941,0,815.964360802863,1494.1,8.6831
